tissue,sample_id,signature,n_genes_used,signature_score
Heart - Atrial Appendage,GTEX-132AR-1926-SM-5EGK5,MitoAll,1101,0.3804409595471827
Heart - Atrial Appendage,GTEX-132AR-1926-SM-5EGK5,MitoOnly,518,0.4122302717382596
Heart - Atrial Appendage,GTEX-132NY-1426-SM-5J1MJ,MitoAll,1101,0.8897068498920062
Heart - Atrial Appendage,GTEX-132NY-1426-SM-5J1MJ,MitoOnly,518,0.9531710840648555
Heart - Atrial Appendage,GTEX-132Q8-1126-SM-5K7XS,MitoAll,1101,0.020462278205456524
Heart - Atrial Appendage,GTEX-132Q8-1126-SM-5K7XS,MitoOnly,518,0.015939513304137985
Heart - Atrial Appendage,GTEX-132QS-0526-SM-5IJC7,MitoAll,1101,0.10750405837849494
Heart - Atrial Appendage,GTEX-132QS-0526-SM-5IJC7,MitoOnly,518,0.12131368569098619
Heart - Atrial Appendage,GTEX-1339X-0326-SM-5K7Z8,MitoAll,1101,-0.09305962405939978
Heart - Atrial Appendage,GTEX-1339X-0326-SM-5K7Z8,MitoOnly,518,-0.06938757297657337
Heart - Atrial Appendage,GTEX-1399R-1726-SM-5K7YJ,MitoAll,1101,-0.07096649607570611
Heart - Atrial Appendage,GTEX-1399R-1726-SM-5K7YJ,MitoOnly,518,-0.02610263140848026
Heart - Atrial Appendage,GTEX-1399S-0826-SM-5KM23,MitoAll,1101,0.24280639959871297
Heart - Atrial Appendage,GTEX-1399S-0826-SM-5KM23,MitoOnly,518,0.2639443120837477
Heart - Atrial Appendage,GTEX-1399T-0726-SM-5J1MH,MitoAll,1101,0.577247068276138
Heart - Atrial Appendage,GTEX-1399T-0726-SM-5J1MH,MitoOnly,518,0.6197530595346513
Heart - Atrial Appendage,GTEX-1399U-0726-SM-5KM1D,MitoAll,1101,0.11792881691106193
Heart - Atrial Appendage,GTEX-1399U-0726-SM-5KM1D,MitoOnly,518,0.15688485937122065
Heart - Atrial Appendage,GTEX-139TU-1926-SM-5J2OC,MitoAll,1101,0.6888373141573246
Heart - Atrial Appendage,GTEX-139TU-1926-SM-5J2OC,MitoOnly,518,0.7091040209597766
Heart - Atrial Appendage,GTEX-139YR-0526-SM-5L3DG,MitoAll,1101,0.04321698980017254
Heart - Atrial Appendage,GTEX-139YR-0526-SM-5L3DG,MitoOnly,518,0.08100581434691627
Heart - Atrial Appendage,GTEX-13CF2-0226-SM-5L3DV,MitoAll,1101,0.8542219905429795
Heart - Atrial Appendage,GTEX-13CF2-0226-SM-5L3DV,MitoOnly,518,0.8848738721873574
Heart - Atrial Appendage,GTEX-13D11-1526-SM-5J2NA,MitoAll,1101,0.1845391756620386
Heart - Atrial Appendage,GTEX-13D11-1526-SM-5J2NA,MitoOnly,518,0.23133384993171385
Heart - Atrial Appendage,GTEX-13FH7-0826-SM-5J2NW,MitoAll,1101,0.5940528272686234
Heart - Atrial Appendage,GTEX-13FH7-0826-SM-5J2NW,MitoOnly,518,0.61609299545903
Heart - Atrial Appendage,GTEX-13FHO-1226-SM-5L3EF,MitoAll,1101,-0.09352358136231047
Heart - Atrial Appendage,GTEX-13FHO-1226-SM-5L3EF,MitoOnly,518,-0.04568281456125537
Heart - Atrial Appendage,GTEX-13FHP-0826-SM-5K7V5,MitoAll,1101,0.37325588089135897
Heart - Atrial Appendage,GTEX-13FHP-0826-SM-5K7V5,MitoOnly,518,0.41535052009395546
Heart - Atrial Appendage,GTEX-13FTW-0826-SM-5K7XR,MitoAll,1101,-0.11004102504237731
Heart - Atrial Appendage,GTEX-13FTW-0826-SM-5K7XR,MitoOnly,518,-0.10820610032769128
Heart - Atrial Appendage,GTEX-13FTZ-0326-SM-5J1O1,MitoAll,1101,0.2707347744771252
Heart - Atrial Appendage,GTEX-13FTZ-0326-SM-5J1O1,MitoOnly,518,0.26257565908555497
Heart - Atrial Appendage,GTEX-13FXS-1026-SM-62LFQ,MitoAll,1101,-0.23160094678369872
Heart - Atrial Appendage,GTEX-13FXS-1026-SM-62LFQ,MitoOnly,518,-0.2028754764119731
Heart - Atrial Appendage,GTEX-13JUV-0226-SM-5IJCC,MitoAll,1101,0.12627028874622287
Heart - Atrial Appendage,GTEX-13JUV-0226-SM-5IJCC,MitoOnly,518,0.15949425533077546
Heart - Atrial Appendage,GTEX-13JVG-1126-SM-5KM2M,MitoAll,1101,0.3744044100814277
Heart - Atrial Appendage,GTEX-13JVG-1126-SM-5KM2M,MitoOnly,518,0.4554003224166192
Heart - Atrial Appendage,GTEX-13N11-0726-SM-5L3DP,MitoAll,1101,0.45283966020151467
Heart - Atrial Appendage,GTEX-13N11-0726-SM-5L3DP,MitoOnly,518,0.4971152994333571
Heart - Atrial Appendage,GTEX-13N1W-0926-SM-5MR36,MitoAll,1101,0.2704091182338053
Heart - Atrial Appendage,GTEX-13N1W-0926-SM-5MR36,MitoOnly,518,0.2917916431755349
Heart - Atrial Appendage,GTEX-13N2G-0326-SM-GINAC,MitoAll,1101,-0.3237675030464614
Heart - Atrial Appendage,GTEX-13N2G-0326-SM-GINAC,MitoOnly,518,-0.3297093500438271
Heart - Atrial Appendage,GTEX-13NYB-0326-SM-5IJDP,MitoAll,1101,-0.15133509100557463
Heart - Atrial Appendage,GTEX-13NYB-0326-SM-5IJDP,MitoOnly,518,-0.11627779899489134
Heart - Atrial Appendage,GTEX-13NYS-1926-SM-5IJCB,MitoAll,1101,0.30930481013155214
Heart - Atrial Appendage,GTEX-13NYS-1926-SM-5IJCB,MitoOnly,518,0.32684129755343044
Heart - Atrial Appendage,GTEX-13NZ9-0126-SM-5K7XV,MitoAll,1101,0.5751302547435234
Heart - Atrial Appendage,GTEX-13NZ9-0126-SM-5K7XV,MitoOnly,518,0.5701677803065686
Heart - Atrial Appendage,GTEX-13NZA-0826-SM-5K7WS,MitoAll,1101,-0.03126084681032951
Heart - Atrial Appendage,GTEX-13NZA-0826-SM-5K7WS,MitoOnly,518,-0.038492635133681
Heart - Atrial Appendage,GTEX-13NZB-0426-SM-5KM26,MitoAll,1101,0.38094066579834834
Heart - Atrial Appendage,GTEX-13NZB-0426-SM-5KM26,MitoOnly,518,0.4441732278868563
Heart - Atrial Appendage,GTEX-13O1R-0926-SM-5L3DS,MitoAll,1101,0.11196690745857096
Heart - Atrial Appendage,GTEX-13O1R-0926-SM-5L3DS,MitoOnly,518,0.14524696778840498
Heart - Atrial Appendage,GTEX-13O21-0326-SM-5J1N9,MitoAll,1101,0.3264701655975631
Heart - Atrial Appendage,GTEX-13O21-0326-SM-5J1N9,MitoOnly,518,0.3342326615548242
Heart - Atrial Appendage,GTEX-13O3O-1426-SM-5KM2S,MitoAll,1101,0.26665652247259186
Heart - Atrial Appendage,GTEX-13O3O-1426-SM-5KM2S,MitoOnly,518,0.2614939219196186
Heart - Atrial Appendage,GTEX-13O3P-1426-SM-5L3DT,MitoAll,1101,0.414540949129369
Heart - Atrial Appendage,GTEX-13O3P-1426-SM-5L3DT,MitoOnly,518,0.4397753579886805
Heart - Atrial Appendage,GTEX-13O3Q-0326-SM-5L3FE,MitoAll,1101,0.8818314820623443
Heart - Atrial Appendage,GTEX-13O3Q-0326-SM-5L3FE,MitoOnly,518,0.8526029515188588
Heart - Atrial Appendage,GTEX-13O61-0426-SM-5L3ET,MitoAll,1101,0.23610498578733788
Heart - Atrial Appendage,GTEX-13O61-0426-SM-5L3ET,MitoOnly,518,0.25800986445967844
Heart - Atrial Appendage,GTEX-13OVG-0426-SM-5KM2T,MitoAll,1101,0.2647723151791536
Heart - Atrial Appendage,GTEX-13OVG-0426-SM-5KM2T,MitoOnly,518,0.2718886639667905
Heart - Atrial Appendage,GTEX-13OVI-0326-SM-5K7X1,MitoAll,1101,0.024087705776282962
Heart - Atrial Appendage,GTEX-13OVI-0326-SM-5K7X1,MitoOnly,518,0.044012586092991274
Heart - Atrial Appendage,GTEX-13OW5-0926-SM-5L3GZ,MitoAll,1101,-0.10909335252316933
Heart - Atrial Appendage,GTEX-13OW5-0926-SM-5L3GZ,MitoOnly,518,-0.0979483217099316
Heart - Atrial Appendage,GTEX-13OW6-0926-SM-5L3GM,MitoAll,1101,0.36691318483091934
Heart - Atrial Appendage,GTEX-13OW6-0926-SM-5L3GM,MitoOnly,518,0.40241011279887107
Heart - Atrial Appendage,GTEX-13OW7-1626-SM-5IJDH,MitoAll,1101,0.7247145411239708
Heart - Atrial Appendage,GTEX-13OW7-1626-SM-5IJDH,MitoOnly,518,0.7751191781954848
Heart - Atrial Appendage,GTEX-13PDP-1326-SM-5K7U9,MitoAll,1101,-0.35357765754983705
Heart - Atrial Appendage,GTEX-13PDP-1326-SM-5K7U9,MitoOnly,518,-0.3318379277149447
Heart - Atrial Appendage,GTEX-13PL6-0826-SM-5IJBI,MitoAll,1101,0.09776004052972072
Heart - Atrial Appendage,GTEX-13PL6-0826-SM-5IJBI,MitoOnly,518,0.06071214433751042
Heart - Atrial Appendage,GTEX-13PL7-0726-SM-5KM1S,MitoAll,1101,0.006475346545219893
Heart - Atrial Appendage,GTEX-13PL7-0726-SM-5KM1S,MitoOnly,518,0.03516801737441392
Heart - Atrial Appendage,GTEX-13PVQ-1326-SM-5LU4J,MitoAll,1101,0.28468177330029587
Heart - Atrial Appendage,GTEX-13PVQ-1326-SM-5LU4J,MitoOnly,518,0.3124184853091577
Heart - Atrial Appendage,GTEX-13PVR-0926-SM-5S2RB,MitoAll,1101,0.19076374632110696
Heart - Atrial Appendage,GTEX-13PVR-0926-SM-5S2RB,MitoOnly,518,0.2118779493618584
Heart - Atrial Appendage,GTEX-13QBU-0226-SM-5LU48,MitoAll,1101,-0.029672281670144587
Heart - Atrial Appendage,GTEX-13QBU-0226-SM-5LU48,MitoOnly,518,0.021680829481713244
Heart - Atrial Appendage,GTEX-13RTJ-0526-SM-62LDP,MitoAll,1101,-0.6467968510109345
Heart - Atrial Appendage,GTEX-13RTJ-0526-SM-62LDP,MitoOnly,518,-0.6302829842956247
Heart - Atrial Appendage,GTEX-13S86-0326-SM-5SI6K,MitoAll,1101,0.5350245235559133
Heart - Atrial Appendage,GTEX-13S86-0326-SM-5SI6K,MitoOnly,518,0.5439067613047465
Heart - Atrial Appendage,GTEX-13SLW-0826-SM-5QGP7,MitoAll,1101,0.05465466306577477
Heart - Atrial Appendage,GTEX-13SLW-0826-SM-5QGP7,MitoOnly,518,0.04697327894361497
Heart - Atrial Appendage,GTEX-13SLX-0926-SM-5S2NM,MitoAll,1101,0.7331188278006421
Heart - Atrial Appendage,GTEX-13SLX-0926-SM-5S2NM,MitoOnly,518,0.7495928627538019
Heart - Atrial Appendage,GTEX-13U4I-0626-SM-5LU5L,MitoAll,1101,0.514746438868129
Heart - Atrial Appendage,GTEX-13U4I-0626-SM-5LU5L,MitoOnly,518,0.5572449650404582
Heart - Atrial Appendage,GTEX-13VXT-0726-SM-5MR7E,MitoAll,1101,-0.28223082889126155
Heart - Atrial Appendage,GTEX-13VXT-0726-SM-5MR7E,MitoOnly,518,-0.2641058127864668
Heart - Atrial Appendage,GTEX-13W3W-0526-SM-5LU3X,MitoAll,1101,0.27946134483515334
Heart - Atrial Appendage,GTEX-13W3W-0526-SM-5LU3X,MitoOnly,518,0.3135722507833293
Heart - Atrial Appendage,GTEX-13X6J-1226-SM-5O9CO,MitoAll,1101,-0.4737891908018831
Heart - Atrial Appendage,GTEX-13X6J-1226-SM-5O9CO,MitoOnly,518,-0.45762410756854405
Heart - Atrial Appendage,GTEX-13X6K-1726-SM-7IGLG,MitoAll,1101,0.3905822177435467
Heart - Atrial Appendage,GTEX-13X6K-1726-SM-7IGLG,MitoOnly,518,0.4695311394775263
Heart - Atrial Appendage,GTEX-13YAN-1426-SM-7EPG8,MitoAll,1101,-0.5268298083032982
Heart - Atrial Appendage,GTEX-13YAN-1426-SM-7EPG8,MitoOnly,518,-0.507766711544897
Heart - Atrial Appendage,GTEX-1445S-1226-SM-5O9BF,MitoAll,1101,0.7724377680798646
Heart - Atrial Appendage,GTEX-1445S-1226-SM-5O9BF,MitoOnly,518,0.7884423999832066
Heart - Atrial Appendage,GTEX-144GL-1026-SM-5O99R,MitoAll,1101,0.2614631971628751
Heart - Atrial Appendage,GTEX-144GL-1026-SM-5O99R,MitoOnly,518,0.31425820749796035
Heart - Atrial Appendage,GTEX-144GN-0226-SM-GJ3Q9,MitoAll,1101,0.4738935718130904
Heart - Atrial Appendage,GTEX-144GN-0226-SM-GJ3Q9,MitoOnly,518,0.5018898103219246
Heart - Atrial Appendage,GTEX-145LS-1326-SM-5Q5EP,MitoAll,1101,0.16134117852437857
Heart - Atrial Appendage,GTEX-145LS-1326-SM-5Q5EP,MitoOnly,518,0.1936330462352012
Heart - Atrial Appendage,GTEX-145LV-0226-SM-5S2QG,MitoAll,1101,0.128809269899387
Heart - Atrial Appendage,GTEX-145LV-0226-SM-5S2QG,MitoOnly,518,0.14512913888513881
Heart - Atrial Appendage,GTEX-146FH-1126-SM-5NQAT,MitoAll,1101,0.7660059181054143
Heart - Atrial Appendage,GTEX-146FH-1126-SM-5NQAT,MitoOnly,518,0.7918509233098237
Heart - Atrial Appendage,GTEX-146FR-0926-SM-5QGPE,MitoAll,1101,0.14361710868367447
Heart - Atrial Appendage,GTEX-146FR-0926-SM-5QGPE,MitoOnly,518,0.1659306439899966
Heart - Atrial Appendage,GTEX-1477Z-1126-SM-5P9GK,MitoAll,1101,0.5155899475947147
Heart - Atrial Appendage,GTEX-1477Z-1126-SM-5P9GK,MitoOnly,518,0.5161798119334559
Heart - Atrial Appendage,GTEX-147F4-1126-SM-5TDDE,MitoAll,1101,0.2820245115886432
Heart - Atrial Appendage,GTEX-147F4-1126-SM-5TDDE,MitoOnly,518,0.30081454832421567
Heart - Atrial Appendage,GTEX-147GR-1026-SM-GI4X2,MitoAll,1101,-0.6635786315357555
Heart - Atrial Appendage,GTEX-147GR-1026-SM-GI4X2,MitoOnly,518,-0.6673556357704828
Heart - Atrial Appendage,GTEX-147JS-1326-SM-5SI6D,MitoAll,1101,0.8100844455232245
